,Age,DistanceFromHome,EmpHourlyRate,NumCompaniesWorked,EmpLastSalaryHikePercent,TotalWorkExperienceInYears,TrainingTimesLastYear,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,EmpRelationshipSatisfaction,EmpWorkLifeBalance,Gender,OverTime,Attrition,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,PerformanceRating
0,0.3333333333333333,0.3214285714285714,0.35714285714285715,0.1111111111111111,0.0714285714285714,0.25,0.3333333333333333,0.25,0.38888888888888884,0.0,0.47058823529411764,3.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,13.0,2.0,3
1,0.6904761904761905,0.4642857142857143,0.17142857142857143,0.2222222222222222,0.0714285714285714,0.5,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.06666666666666667,0.4117647058823529,4.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,13.0,2.0,3
2,0.5238095238095237,0.14285714285714285,0.2571428571428572,0.5555555555555556,0.7142857142857143,0.5,0.3333333333333333,0.45,0.7222222222222222,0.06666666666666667,0.7058823529411764,4.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,13.0,1.0,4
3,0.5476190476190477,0.3214285714285714,0.6142857142857143,0.3333333333333333,0.2857142857142857,0.5750000000000001,0.3333333333333333,0.525,0.3333333333333333,0.8,0.3529411764705882,4.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,3
4,0.9999999999999998,0.5357142857142857,0.7714285714285714,0.8888888888888888,0.2142857142857143,0.25,0.16666666666666666,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,4.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,13.0,2.0,3
5,0.21428571428571425,0.3214285714285714,0.02857142857142858,0.1111111111111111,0.7142857142857143,0.225,0.6666666666666666,0.225,0.38888888888888884,0.06666666666666667,0.4117647058823529,2.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4
6,0.7619047619047619,0.25,0.3428571428571428,0.7777777777777777,0.2857142857142857,0.1,0.3333333333333333,0.05,0.1111111111111111,0.13333333333333333,0.11764705882352941,4.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,5.0,14.0,2.0,3
7,0.23809523809523808,0.0,0.5285714285714285,0.7777777777777777,0.1428571428571428,0.25,0.6666666666666666,0.17500000000000002,0.38888888888888884,0.2,0.4117647058823529,2.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3
8,0.42857142857142855,0.25,0.4714285714285715,1.0,0.2142857142857143,0.25,0.3333333333333333,0.2,0.38888888888888884,0.0,0.29411764705882354,3.0,1.0,4.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3
9,0.4761904761904761,0.0,0.7285714285714284,0.4444444444444444,0.2142857142857143,0.25,0.6666666666666666,0.025,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,3
10,0.6190476190476188,0.8214285714285714,0.2714285714285714,0.2222222222222222,0.2142857142857143,0.225,0.8333333333333333,0.125,0.1111111111111111,0.06666666666666667,0.23529411764705882,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,3
11,0.6904761904761905,0.07142857142857142,0.2714285714285714,1.0,0.0714285714285714,0.7000000000000001,0.3333333333333333,0.55,0.1111111111111111,0.7333333333333333,0.7647058823529411,3.0,4.0,3.0,4.0,3.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,5.0,13.0,1.0,3
